Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
wpn_thundergun_fire_plr,raw\sound\wpn\energy\thundergun\plr\shot\wpn_thundergun_fire_plr.wav.wav,wpn_thundergun_fire_rear,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,70,0,98,98,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,100,100,0.25,1,2d,wpn_all,nonlooping,,1,0,50,300,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_fire_plr_last,raw\sound\wpn\energy\thundergun\plr\shot\wpn_thundergun_fire_last_plr.wav.wav,fly_thundergun_cell_eject,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,70,0,98,98,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,100,100,0.25,1,2d,wpn_all,nonlooping,,1,0,50,300,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_fire_rear,raw\sound\wpn\energy\thundergun\plr\shot\wpn_thundergun_fire_rear_plr.wav.wav,wpn_thundergun_flux_left,loaded,bus_hdrfx,grp_weapon,snp_wpn_1p,,70,0,93,93,0,5000,5000,allon,default,allon,default,2,8,oldest,oldest,0,0,80,90,0.25,1,2d,wpn_rear,nonlooping,,1,200,50,175,0,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_fire_npc,raw\sound\wpn\energy\thundergun\npc\shot\shot_00.wav.wav,wpn_thundergun_flux_left,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,96,96,100,2100,4000,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,0,0,80,90,0.25,1,3d,default,nonlooping,,1,0,25,150,93,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_fire_npc_last,raw\sound\wpn\energy\thundergun\npc\shot\shot_last_00.wav.wav,wpn_thundergun_flux_left,loaded,bus_fx,grp_weapon,snp_wpn_3p,,80,0,96,96,100,2100,4000,cosdelay,alloff,cosdelay,default,6,2,priority,oldest,0,0,80,90,0.25,1,3d,default,nonlooping,,1,0,25,150,93,0.25,no,no,none,0,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_flux_left,raw\sound\wpn\energy\thundergun\flux\wpn_thundergun_flux_l.wav.wav,wpn_thundergun_flux_right,loaded,bus_fx,grp_explosion,snp_explosion,,70,0,98,100,100,1550,2500,allon,default,allon,default,2,3,priority,oldest,-182,195,75,85,0.25,1,3d,default,nonlooping,,1,50,25,75,86,0.4,no,no,left_shot,6000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_flux_right,raw\sound\wpn\energy\thundergun\flux\wpn_thundergun_flux_r.wav.wav,,loaded,bus_fx,grp_explosion,snp_explosion,,70,0,98,100,100,1550,2500,allon,default,allon,default,2,3,priority,oldest,-175,200,75,85,0.25,1,3d,default,nonlooping,,1,50,25,75,86,0.4,no,no,right_shot,6000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_proj_impact,raw\sound\wpn\energy\thundergun\projectile\impact\impact_00.wav.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,90,94,200,550,550,allon,default,allon,default,6,8,priority,oldest,-182,165,80,90,0.25,1,3d,default,nonlooping,,1,0,25,50,99,0.1,no,yes,left_player,3000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_thundergun_proj_impact_zombie,raw\sound\wpn\energy\thundergun\projectile\impact\impact_00.wav.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,90,94,200,550,550,allon,default,allon,default,6,8,priority,oldest,-182,165,80,90,0.25,1,3d,default,nonlooping,,1,0,25,50,99,0.1,no,yes,none,3000,,no,,,yes,no,no,0,0,yes,no,,0,,no,no,no
wpn_zombie_disintegrate,raw\sound\wpn\energy\thundergun\effects\disintegrate\zmb_disintegrate_00.wav.wav,wpn_thundergun_proj_flux_gen,loaded,bus_fx,grp_ambience,snp_ambience,,98,0,98,98,500,1850,1875,allon,default,allon,default,7,8,priority,oldest,-182,165,80,90,0.25,1,3d,default,nonlooping,,1,0,50,100,99,0,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
